Time (s), Instantaneous Heart Rate, Average Heart Rate, Brady/Tachycardia Occurrence
814.0,5.45454545455,26.3486100676,B
815.0,5.45454545455,26.1457550714,B
816.0,30.0,25.9429000751,B
817.0,30.0,25.9429000751,B
818.0,30.0,25.9429000751,B
819.0,30.0,26.1457550714,B
820.0,30.0,26.3486100676,B
821.0,30.0,26.3486100676,B
822.0,30.0,26.3486100676,B
823.0,30.0,26.3486100676,B
824.0,30.0,26.3486100676,B
825.0,30.0,26.3486100676,B
826.0,30.0,26.3486100676,B
827.0,5.45454545455,26.3486100676,B
828.0,5.45454545455,26.1457550714,B
829.0,30.0,25.9429000751,B
830.0,30.0,25.9429000751,B
831.0,30.0,25.9429000751,B
832.0,30.0,26.1457550714,B
833.0,30.0,26.3486100676,B
834.0,30.0,26.3486100676,B
835.0,30.0,26.3486100676,B
836.0,30.0,26.3486100676,B
837.0,30.0,26.3486100676,B
838.0,30.0,26.3486100676,B
839.0,30.0,26.3486100676,B
840.0,5.45454545455,26.3486100676,B
841.0,5.45454545455,26.1457550714,B
842.0,30.0,25.9429000751,B
843.0,30.0,25.9429000751,B
844.0,30.0,25.9429000751,B
845.0,30.0,26.1457550714,B
846.0,30.0,26.3486100676,B
847.0,30.0,26.3486100676,B
848.0,30.0,26.3486100676,B
849.0,30.0,26.3486100676,B
850.0,30.0,26.3486100676,B
851.0,30.0,26.3486100676,B
852.0,30.0,26.3486100676,B
853.0,5.45454545455,26.3486100676,B
854.0,5.45454545455,26.1457550714,B
855.0,30.0,25.9429000751,B
856.0,30.0,25.9429000751,B
857.0,30.0,25.9429000751,B
858.0,30.0,26.1457550714,B
859.0,30.0,26.3486100676,B
860.0,30.0,26.3486100676,B
861.0,30.0,26.3486100676,B
862.0,30.0,26.3486100676,B
863.0,30.0,26.3486100676,B
864.0,30.0,26.3486100676,B
865.0,30.0,26.3486100676,B
866.0,5.45454545455,26.3486100676,B
867.0,5.45454545455,26.1457550714,B
868.0,30.0,25.9429000751,B
869.0,30.0,25.9429000751,B
870.0,30.0,25.9429000751,B
871.0,30.0,26.1457550714,B
872.0,30.0,26.3486100676,B
873.0,30.0,26.3486100676,B
874.0,30.0,26.3486100676,B
875.0,30.0,26.3486100676,B
876.0,30.0,26.3486100676,B
877.0,30.0,26.3486100676,B
878.0,30.0,26.3486100676,B
879.0,5.45454545455,26.3486100676,B
880.0,5.45454545455,26.1457550714,B
881.0,30.0,25.9429000751,B
882.0,30.0,25.9429000751,B
883.0,30.0,25.9429000751,B
884.0,30.0,26.1457550714,B
885.0,30.0,26.3486100676,B
886.0,30.0,26.3486100676,B
887.0,30.0,26.3486100676,B
888.0,30.0,26.3486100676,B
889.0,30.0,26.3486100676,B
890.0,30.0,26.3486100676,B
891.0,30.0,26.3486100676,B
892.0,5.45454545455,26.3486100676,B
893.0,5.45454545455,26.1457550714,B
894.0,30.0,25.9429000751,B
895.0,30.0,25.9429000751,B
896.0,30.0,25.9429000751,B
897.0,30.0,26.1457550714,B
898.0,30.0,26.3486100676,B
899.0,30.0,26.3486100676,B
900.0,30.0,26.3486100676,B
901.0,30.0,26.3486100676,B
902.0,30.0,26.3486100676,B
903.0,30.0,26.3486100676,B
904.0,30.0,26.3486100676,B
905.0,5.45454545455,26.3486100676,B
906.0,5.45454545455,26.1457550714,B
907.0,30.0,25.9429000751,B
908.0,30.0,25.9429000751,B
909.0,30.0,25.9429000751,B
910.0,30.0,26.1457550714,B
911.0,30.0,26.3486100676,B
912.0,30.0,26.3486100676,B
913.0,30.0,26.3486100676,B
914.0,30.0,26.3486100676,B
915.0,30.0,26.3486100676,B
916.0,30.0,26.3486100676,B
917.0,30.0,26.3486100676,B
918.0,5.45454545455,26.3486100676,B
919.0,5.45454545455,26.1457550714,B
920.0,30.0,25.9429000751,B
921.0,30.0,25.9429000751,B
922.0,30.0,25.9429000751,B
923.0,30.0,26.1457550714,B
924.0,30.0,26.3486100676,B
925.0,30.0,26.3486100676,B
926.0,30.0,26.3486100676,B
927.0,30.0,26.3486100676,B
928.0,30.0,26.3486100676,B
929.0,30.0,26.3486100676,B
930.0,30.0,26.3486100676,B
931.0,5.45454545455,26.3486100676,B
932.0,5.45454545455,26.1457550714,B
933.0,30.0,25.9429000751,B
934.0,30.0,25.9429000751,B
935.0,30.0,25.9429000751,B
936.0,30.0,26.1457550714,B
937.0,30.0,26.3486100676,B
938.0,30.0,26.3486100676,B
939.0,30.0,26.3486100676,B
940.0,30.0,26.3486100676,B
941.0,30.0,26.3486100676,B
942.0,30.0,26.3486100676,B
943.0,30.0,26.3486100676,B
944.0,5.45454545455,26.3486100676,B
945.0,5.45454545455,26.1457550714,B
946.0,30.0,25.9429000751,B
947.0,30.0,25.9429000751,B
948.0,30.0,25.9429000751,B
949.0,30.0,26.1457550714,B
950.0,30.0,26.3486100676,B
951.0,30.0,26.3486100676,B
952.0,30.0,26.3486100676,B
953.0,30.0,26.3486100676,B
954.0,30.0,26.3486100676,B
955.0,30.0,26.3486100676,B
956.0,30.0,26.3486100676,B
957.0,5.45454545455,26.3486100676,B
958.0,5.45454545455,26.1457550714,B
959.0,30.0,25.9429000751,B
960.0,30.0,25.9429000751,B
961.0,30.0,25.9429000751,B
962.0,30.0,26.1457550714,B
963.0,30.0,26.3486100676,B
964.0,30.0,26.3486100676,B
965.0,30.0,26.3486100676,B
966.0,30.0,26.3486100676,B
967.0,30.0,26.3486100676,B
968.0,30.0,26.3486100676,B
969.0,30.0,26.3486100676,B
970.0,5.45454545455,26.3486100676,B
971.0,5.45454545455,26.1457550714,B
972.0,30.0,25.9429000751,B
973.0,30.0,25.9429000751,B
974.0,30.0,25.9429000751,B
975.0,30.0,26.1457550714,B
976.0,30.0,26.3486100676,B
977.0,30.0,26.3486100676,B
978.0,30.0,26.3486100676,B
979.0,30.0,26.3486100676,B
980.0,30.0,26.3486100676,B
